Position,Artist,Song_Title,Lyrics
1,Nat King Cole,Too Young,"They try to tell us we're too young
Too young to really be in love
They say that love's a word
A word we've only heard
But can't begin to know the meaning of

And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at all

And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at all"
2,Tony Bennett,Because Of You,"Because of you there's a song in my heart
Because of you my romance had its start
Because of you the sun will shine
The moon and stars will say you're mine
Forever: and never to part

I only live for your love and your kiss
It's paradise to be near you like this
Because of you: my life is now worthwhile
And I can smile because of you

I only live for your love and your kiss
It's paradise to be near you like this
Because of you: my life is now worthwhile
And I can smile because of you"
3,Les Paul and Mary Ford,How High The Moon,"Somewhere there's music
How faint the tune
Somewhere there's heaven
How high the moon

There is no moon above
When love is far away too
Till it comes true
That you love me as I love you

Somewhere there's music
How near: how far
Somewhere there's heaven
It's where you are

The darkest night would shine
If you would come to me soon
Until you will: I'll still my heart
How high the moon

Somewhere there's music
How faint the tune
Somewhere there's heaven
How high the moon

The darkest night would shine
If you would come to me soon
Until you will: I'll still my heart
How high the moon"
4,Rosemary Clooney,Come On-a My House,"Come on-a my house: my house: I'm gonna give you candy
Come on-a my house: my house: I'm gonna give a you
Apple a plum and apricot-a too eh

Come on-a my house: my house a come on
Come on-a my house: my house a come on
Come on-a my house: my house I'm gonna give a you
Figs and dates and grapes and cakes eh

Come on-a my house: my house a come on
Come on-a my house: my house a come on
Come on-a my house: my house: I'm gonna give you candy
Come on-a my house: my house: I'm gonna give you everything

Come on-a my house: my house: I'm gonna give you Christmas tree
Come on-a my house: my house: I'm gonna give you
Marriage ring and a pomegranate too ah

Come on-a my house: my house a come on
Come on-a my house: my house a come on
Come on-a my house: my house I'm gonna give a you
Peach and pear and I love your hair ah

Come on-a my house: my house a come on
Come on-a my house: my house a come on
Come on-a my house: my house: I'm gonna give you Easter egg
Come on-a my house: my house: I'm gonna give you
Everything: everything: everything

Come on-a my house-a"
5,Mario Lanza,Be My Love,"Be my love: for no one else can end this yearning
This need that you and you alone create
Just fill my arms the way you've filled my dreams
The dreams that you inspire with every sweet desire

Be my love and with your kisses set me burning
One kiss is all that I need to seal my fate
And: hand-in-hand: we'll find love's promised land
There'll be no one but you for me: eternally
If you will be my love

(Be my love: for no one else can end this yearning
This need that you and you alone create)
Just fill my arms the way you've filled my dreams
The dreams that you inspire with ev'ry sweet desire

(Be my love and with your kisses) set me burning
One kiss is all that I need to seal my fate
And: hand-in-hand: we'll find love's promised land
There'll be no one but you for me: eternally
If you will be my love"
6,Weavers,On Top Of Old Smoky,
7,Tony Bennett,"Cold, Cold Heart","I tried so hard: my dear: to show that you're my every dream
Yet you're afraid each thing I do is just some evil scheme
A memory from your lonesome past keeps us so far apart
Why can't I free your doubtful mind and melt your cold: cold heart?

Another love before my time made your heart sad and blue
And so my heart is paying now for things I didn't do
In anger: unkind words are said that make the teardrops start
Why can't I free your doubtful mind and melt your cold: cold heart?

There was a time when I believed that you belonged to me
But now I know your heart is shackled to a memory
The more I learn to care for you: the more we drift apart
Why can't I free your doubtful mind and melt your cold: cold heart?"
8,Perry Como,If,"If they made me a king
I'd be but a slave to you
If I had everything
I'd still be a slave to you

If I ruled the night
Stars and moon so bright
Still I'd turn for light to you

If the world to me bowed
Yet humbly I'd flee to you
If my friends were a crowd
I'd turn in my need to you

If I ruled the earth
What would life be worth
If I hadn't the right to you

If I ruled the night
Stars and moon so bright
Still I'd turn for light to you

If the world to me bowed
Yet humbly I'd flee to you
If my friends were a crowd
I'd turn in my need to you

If I ruled the earth
What would life be worth
If I hadn't the right to you"
9,Mario Lanza,Loveliest Night Of The Year,
10,Patti Page,Tennessee Waltz,"I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes: I lost my little darling the night they were playing
The beautiful Tennessee Waltz

I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes: I lost my little darling the night they were playing
The beautiful Tennessee Waltz"
11,Frankie Laine,Jezebel,"If ever a devil was born
Without a pair of horns
It was you: Jezebel: it was you!
If ever a pair of eyes
Promised paradise
It was you: Jezebel: it was you!
If ever a devil's plan
Was made to torment man
Deceiving me
Grieving me
Leaving me blue
Jezebel: it was you!

If ever a devil was born
Without a pair of horns
It was you: Jezebel: it was you!
If ever a pair of eyes
Promised paradise
It was you: Jezebel: it was you!
If ever a devil's plan
Was made to torment man
Deceiving me
Grieving me
Leaving me blue
Jezebel: it was you!

Even had I never known
A lover such as you
Forsaking dreams and goals
For the silent scorn
Of your charms: Jezebel!

If ever a devil's plan
Was made to torment man
Deceiving me
Drieving me
Leaving me blue
Jezebel: it was you!

Night and day
Every way
Oh Jezebel!
Jezebel

Jezebel!"
12,Tony Martin,I Get Ideas,"When we are dancing and your dangerously near me
I get ideas: I get ideas
I want to hold you so much closer than I dare to
I want to scold you 'cause I care more than I care to

And when you touch me and there's fire in every finger
I get ideas: I get ideas
And after we have kissed goodnight and still you linger
I kinda think you get ideas too

Your eyes are always saying: the things you're never saying
I only hope they're saying that you could love me too
For that's the whole idea: it's true
The lovely idea that I'm falling in love with you

When we are dancing and your dangerously near me
I get ideas: I get ideas
I want to hold you so much closer than I dare to
I want to scold you 'cause I care more than I care to

And when you touch me and there's fire in every finger
I get ideas: I get ideas
And after we have kissed goodnight and still you linger
I kinda think you get ideas too

Your eyes are always saying: the things you're never saying
I only hope they're saying that you could love me too
For that's the whole idea: it's true
The lovely idea that I'm falling in love with you"
13,Les Paul and Mary Ford,Mockin' Bird Hill,
